bet_no,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
614,2026-08-01 06:44 UTC,8923553900,10-я минута,Games of the Future 2026: Group Stage,Amaru Gaming vs Execration,Тотал убийств,Больше 41.5,1.81,5000,выигрыш,4050
616,2026-08-01 07:52 UTC,8923614281,15-я минута,Games of the Future 2026: Group Stage,Execration vs Amaru Gaming,Тотал убийств,Больше 60.5,2.07,5000,выигрыш,5350
617,2026-08-01 09:13 UTC,8923704450,10-я минута,Games of the Future 2026: Group Stage,Vici Gaming vs Yellow Submarine,Тотал убийств,Больше 38.5,1.81,5000,выигрыш,4050
619,2026-08-01 10:25 UTC,8923790600,10-я минута,Games of the Future 2026: Group Stage,Yellow Submarine vs Vici Gaming,Тотал убийств,Больше 40.5,1.84,5000,проигрыш,-5000
621,2026-08-01 11:37 UTC,8923874259,10-я минута,Games of the Future 2026: Group Stage,PlayTime vs Rune Eater,Тотал убийств,Больше 47.5,1.81,5000,выигрыш,4050
622,2026-08-01 11:42 UTC,8923874259,15-я минута,Games of the Future 2026: Group Stage,PlayTime vs Rune Eater,Тотал убийств,Больше 53.5,1.88,2500,выигрыш,2200
623,2026-08-01 11:56 UTC,8923899787,10-я минута,Games of the Future 2026: Group Stage,Yakult Brothers vs enjoy,Тотал убийств,Больше 40.5,1.83,5000,проигрыш,-5000
624,2026-08-01 12:01 UTC,8923899787,15-я минута,Games of the Future 2026: Group Stage,Yakult Brothers vs enjoy,Тотал убийств,Больше 39.5,1.73,2500,проигрыш,-2500
626,2026-08-01 12:57 UTC,8924005118,драфт (до игры),Games of the Future 2026: Group Stage,enjoy vs Yakult Brother,Тотал убийств,Больше 45.5,1.68,5000,выигрыш,3400
627,2026-08-01 13:09 UTC,8924005118,10-я минута,Games of the Future 2026: Group Stage,enjoy vs Yakult Brother,Тотал убийств,Больше 50.5,1.84,2500,выигрыш,2100
630,2026-08-01 13:33 UTC,8924057168,драфт (до игры),Games of the Future 2026: Group Stage,L1GA TEAM vs LGD.Pinghu,Тотал убийств,Больше 44.5,1.67,5000,выигрыш,3350
631,2026-08-01 13:45 UTC,8924057168,10-я минута,Games of the Future 2026: Group Stage,L1GA TEAM vs LGD.Pinghu,Тотал убийств,Больше 40.5,1.8,2500,выигрыш,2000
635,2026-08-01 14:22 UTC,8924126326,10-я минута,Games of the Future 2026: Group Stage,enjoy vs Yakult Brother,Тотал убийств,Больше 42.5,1.89,5000,выигрыш,4450
636,2026-08-01 14:27 UTC,8924126326,15-я минута,Games of the Future 2026: Group Stage,enjoy vs Yakult Brother,Тотал убийств,Больше 46.5,1.75,2500,выигрыш,1875
638,2026-08-01 15:02 UTC,8924222714,драфт (до игры),Games of the Future 2026: Group Stage,LGD.Pinghu vs L1GA TEAM,Тотал убийств,Больше 39.5,1.69,5000,проигрыш,-5000
639,2026-08-01 15:13 UTC,8924222714,10-я минута,Games of the Future 2026: Group Stage,LGD.Pinghu vs L1GA TEAM,Тотал убийств,Больше 43.5,1.79,2500,проигрыш,-2500
642,2026-08-01 16:10 UTC,8924328537,10-я минута,Games of the Future 2026: Group Stage,GLYPH vs Zero Tenacity,Тотал убийств,Больше 39.5,1.8,5000,выигрыш,4000
643,2026-08-01 16:15 UTC,8924328537,15-я минута,Games of the Future 2026: Group Stage,GLYPH vs Zero Tenacity,Тотал убийств,Больше 37.5,1.74,2500,выигрыш,1850
644,2026-08-01 16:22 UTC,8924367779,драфт (до игры),,LGD.Pinghu vs L1GA TEAM,Тотал убийств,Больше 43.5,1.7,5000,проигрыш,-5000
645,2026-08-01 16:35 UTC,8924367779,10-я минута,Games of the Future 2026: Group Stage,LGD.Pinghu vs L1GA TEAM,Тотал убийств,Больше 42.5,1.8,2500,проигрыш,-2500
647,2026-08-01 17:36 UTC,8924468754,10-я минута,Games of the Future 2026: Group Stage,Zero Tenacity vs GLYPH,Тотал убийств,Больше 36.5,1.81,5000,выигрыш,4050
648,2026-08-01 18:17 UTC,8924530036,10-я минута,Games of the Future 2026: Group Stage,Xtreme Gaming vs REKONIX,Тотал убийств,Больше 45.5,1.78,5000,проигрыш,-5000
649,2026-08-01 18:22 UTC,8924530036,15-я минута,Games of the Future 2026: Group Stage,Xtreme Gaming vs REKONIX,Тотал убийств,Больше 45.5,1.82,2500,проигрыш,-2500
651,2026-08-01 19:05 UTC,8924616191,драфт (до игры),Games of the Future 2026: Group Stage,Xtreme Gaming vs REKONIX,Тотал убийств,Больше 47.5,1.74,5000,проигрыш,-5000
652,2026-08-01 19:17 UTC,8924616191,10-я минута,Games of the Future 2026: Group Stage,Xtreme Gaming vs REKONIX,Тотал убийств,Больше 39.5,1.8,2500,выигрыш,2000
656,2026-08-02 07:15 UTC,8925308090,10-я минута,Games of the Future 2026: Playoffs,PlayTime vs Execration,Тотал убийств,Больше 53.5,1.8,5000,выигрыш,4000
660,2026-08-02 10:48 UTC,8925564849,15-я минута,1win Essence II,OG vs Nigma Galaxy,Тотал убийств,Больше 53.5,1.83,5000,проигрыш,-5000
661,2026-08-02 10:55 UTC,8925543582,10-я минута,Games of the Future 2026: Playoffs,Yellow Submarine vs Team resilience,Тотал убийств,Больше 45.5,1.81,5000,проигрыш,-5000
662,2026-08-02 11:58 UTC,8925703946,драфт (до игры),Games of the Future 2026: Playoffs,Team resilience vs Yellow Submarine,Тотал убийств,Больше 43.5,1.64,5000,выигрыш,3200
663,2026-08-02 12:09 UTC,8925703946,10-я минута,Games of the Future 2026: Playoffs,Team resilience vs Yellow Submarine,Тотал убийств,Больше 46.5,1.78,2500,выигрыш,1950
666,2026-08-02 13:09 UTC,8925788830,15-я минута,1win Essence II,GamerLegion vs MOUZ,Тотал убийств,Меньше 40.5,1.91,5000,проигрыш,-5000
667,2026-08-02 13:16 UTC,8925847726,драфт (до игры),Games of the Future 2026: Playoffs,Team resilience vs Yellow Submarine,Тотал убийств,Больше 49.5,1.71,5000,выигрыш,3550
668,2026-08-02 13:33 UTC,8925847726,15-я минута,Games of the Future 2026: Playoffs,Team resilience vs Yellow Submarine,Тотал убийств,Больше 50.5,1.79,2500,выигрыш,1975
670,2026-08-02 15:06 UTC,8926022375,драфт (до игры),Games of the Future 2026: Playoffs,Yakult Brothers vs REKONIX,Тотал убийств,Больше 46.5,1.68,5000,выигрыш,3400
673,2026-08-02 15:20 UTC,8926022375,10-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs REKONIX,Тотал убийств,Больше 43.5,1.75,2500,выигрыш,1875
675,2026-08-02 16:52 UTC,8926232913,10-я минута,Games of the Future 2026: Playoffs,REKONIX vs Yakult Brother,Тотал убийств,Больше 47.5,1.82,5000,выигрыш,4100
676,2026-08-02 18:25 UTC,8926381426,10-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs REKONIX,Тотал убийств,Больше 55.5,1.79,5000,проигрыш,-5000
677,2026-08-02 18:30 UTC,8926381426,15-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs REKONIX,Тотал убийств,Больше 54.5,1.9,2500,выигрыш,2250
678,2026-08-02 20:10 UTC,8926523280,10-я минута,Games of the Future 2026: Playoffs,Zero Tenacity vs LGD.Pinghu,Тотал убийств,Больше 38.5,1.8,5000,проигрыш,-5000
679,2026-08-02 20:14 UTC,8926523280,15-я минута,Games of the Future 2026: Playoffs,Zero Tenacity vs LGD.Pinghu,Тотал убийств,Больше 37.5,1.7,2500,проигрыш,-2500
680,2026-08-02 21:18 UTC,8926636219,10-я минута,Games of the Future 2026: Playoffs,Zero Tenacity vs LGD.Pinghu,Тотал убийств,Больше 51.5,1.75,5000,проигрыш,-5000
681,2026-08-03 05:53 UTC,8927010074,10-я минута,Games of the Future 2026: Playoffs,PlayTime vs GLYPH,Тотал убийств,Больше 46.5,1.75,5000,выигрыш,3750
682,2026-08-03 05:58 UTC,8927010074,15-я минута,Games of the Future 2026: Playoffs,PlayTime vs GLYPH,Тотал убийств,Больше 41.5,1.78,2500,выигрыш,1950
684,2026-08-03 09:38 UTC,8927177084,15-я минута,1win Essence II,LGD Gaming vs 1w,Тотал убийств,Больше 57.5,1.84,5000,проигрыш,-5000
686,2026-08-03 09:59 UTC,8927207054,драфт (до игры),Games of the Future 2026: Playoffs,Team resilience vs Xtreme Gaming,Тотал убийств,Больше 40.5,1.68,5000,проигрыш,-5000
687,2026-08-03 10:12 UTC,8927207054,10-я минута,Games of the Future 2026: Playoffs,Team resilience vs Xtreme Gaming,Тотал убийств,Больше 41.5,1.75,2500,проигрыш,-2500
